TAKIM NO,PAKET NUMARASI,GONDERME SAATI,BASINC,YUKSEKLIK,INIS HIZI,SICAKLIK,PIL GERILIMI,GPS LATITUDE,GPS LONGITUDE,GPS ALTITUDE,UYDU STATUSU,PITCH,ROLL,YAW,DONUS SAYISI,VIDEO AKTARIM BILGISI, SON KOMUT
79108,1574,14/9/2021 06/48/21,1007.40,0.14,-0.40,29.96,12.41,0.000000,0.000000,0.00,Ucus Bekleniyor,-8.87,4.68,308.06,24.17,HAYIR,
79108,30,14/9/2021 06/48/52,1007.46,-0.43,0.00,30.57,12.23,0.000000,0.000000,0.00,Ucus Bekleniyor,-1.06,17.62,56.12,1.36,HAYIR,TAHRIK DURDUR
79108,31,14/9/2021 06/48/53,1007.47,-0.49,-0.30,30.60,12.23,0.000000,0.000000,0.00,Ucus Bekleniyor,-1.68,19.37,55.56,1.36,HAYIR,TAHRIK DURDUR
79108,32,14/9/2021 06/48/54,1007.47,-0.50,-0.10,30.62,12.23,0.000000,0.000000,0.00,Ucus Bekleniyor,-0.62,14.12,48.37,1.37,HAYIR,TAHRIK DURDUR
79108,33,14/9/2021 06/48/55,1007.48,-0.52,-0.20,30.64,12.23,0.000000,0.000000,0.00,Ucus Bekleniyor,-1.00,16.93,45.25,1.39,HAYIR,TAHRIK DURDUR
79108,34,14/9/2021 06/48/56,1007.48,-0.52,0.00,30.67,12.23,0.000000,0.000000,0.00,Ucus Bekleniyor,-6.93,19.31,57.68,1.40,HAYIR,TAHRIK DURDUR
79108,35,14/9/2021 06/48/57,1007.48,-0.58,0.00,30.70,12.23,0.000000,0.000000,0.00,Ucus Bekleniyor,-7.31,20.43,64.68,1.43,HAYIR,TAHRIK DURDUR
79108,37,14/9/2021 06/48/59,1007.47,-0.45,0.20,30.74,12.23,0.000000,0.000000,0.00,Ucus Bekleniyor,-2.18,14.00,73.75,1.47,HAYIR,TAHRIK DURDUR
79108,38,14/9/2021 06/49/00,1007.46,-0.36,0.10,30.76,12.23,0.000000,0.000000,0.00,Ucus Bekleniyor,4.12,10.87,77.81,1.47,HAYIR,TAHRIK DURDUR
79108,39,14/9/2021 06/49/01,1007.46,-0.40,0.30,30.79,12.23,0.000000,0.000000,0.00,Ucus Bekleniyor,1.18,10.62,78.00,1.48,HAYIR,TAHRIK DURDUR
79108,40,14/9/2021 06/49/02,1007.48,-0.56,-0.40,30.81,12.23,0.000000,0.000000,0.00,Ucus Bekleniyor,-7.25,2.31,87.56,1.49,HAYIR,TAHRIK DURDUR
79108,41,14/9/2021 06/49/03,1007.50,-0.67,-0.50,30.83,12.14,0.000000,0.000000,0.00,Ucus Bekleniyor,-11.31,17.12,135.43,1.51,HAYIR,TAHRIK DURDUR
79108,1805,14/9/2021 09/14/56,1014.96,-15.15,-0.40,29.45,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,170.06,-16.68,280.75,49.11,HAYIR,
79108,1806,14/9/2021 09/14/57,1014.95,-15.06,-0.20,29.47,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,176.81,-10.62,286.31,49.14,HAYIR,
79108,1807,14/9/2021 09/14/58,1014.95,-15.04,0.00,29.48,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,172.18,-10.37,289.25,49.16,HAYIR,
79108,1808,14/9/2021 09/14/59,1014.95,-15.10,0.00,29.50,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,173.50,-6.93,290.81,49.17,HAYIR,
79108,1809,14/9/2021 09/15/00,1014.95,-15.10,-0.10,29.51,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,172.50,-8.12,292.12,49.17,HAYIR,
79108,1810,14/9/2021 09/15/01,1014.95,-15.10,0.00,29.53,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,172.62,-8.62,292.68,49.18,HAYIR,
79108,1811,14/9/2021 09/15/02,1014.95,-15.03,0.00,29.53,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,173.43,-8.87,293.62,49.18,HAYIR,
79108,1812,14/9/2021 09/15/03,1014.99,-15.38,0.00,29.55,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,175.87,-8.31,297.37,49.18,HAYIR,
79108,1813,14/9/2021 09/15/04,1014.92,-14.82,-0.20,29.56,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,170.93,-12.12,301.00,49.19,HAYIR,
79108,1814,14/9/2021 09/15/05,1014.93,-14.85,0.50,29.57,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,170.56,-12.37,301.62,49.20,HAYIR,
79108,1815,14/9/2021 09/15/06,1014.96,-15.11,0.00,29.59,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,174.43,-11.68,301.87,49.20,HAYIR,
79108,1816,14/9/2021 09/15/07,1014.94,-15.00,-0.20,29.60,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,174.18,-11.50,302.50,49.20,HAYIR,
79108,1817,14/9/2021 09/15/08,1014.93,-14.87,0.00,29.61,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,173.00,-13.12,302.62,49.20,HAYIR,
79108,1818,14/9/2021 09/15/09,1014.91,-14.72,0.20,29.63,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,170.56,-15.25,303.31,49.20,HAYIR,
79108,1819,14/9/2021 09/15/10,1014.92,-14.82,0.10,29.64,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,170.75,-14.81,303.93,49.21,HAYIR,
79108,1820,14/9/2021 09/15/11,1014.93,-14.89,-0.10,29.65,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,170.75,-14.93,303.93,49.21,HAYIR,
79108,1821,14/9/2021 09/15/12,1014.92,-14.76,0.00,29.66,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,170.87,-14.87,303.93,49.21,HAYIR,
79108,1822,14/9/2021 09/15/13,1014.91,-14.75,0.10,29.68,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,170.87,-14.87,303.93,49.21,HAYIR,
79108,1823,14/9/2021 09/15/14,1014.91,-14.76,0.00,29.69,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,170.87,-14.87,303.93,49.21,HAYIR,
79108,1824,14/9/2021 09/15/15,1014.91,-14.76,0.00,29.69,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,170.81,-15.00,303.93,49.21,HAYIR,
79108,1825,14/9/2021 09/15/16,1014.93,-14.90,0.00,29.72,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,170.81,-15.06,303.93,49.21,HAYIR,
79108,1826,14/9/2021 09/15/17,1014.92,-14.82,-0.20,29.72,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,171.81,-14.68,303.37,49.21,HAYIR,
79108,1827,14/9/2021 09/15/18,1014.92,-14.84,0.00,29.74,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,172.75,-14.25,303.87,49.21,HAYIR,
79108,1828,14/9/2021 09/15/19,1014.93,-14.86,0.00,29.75,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,173.37,-13.00,304.37,49.21,HAYIR,
79108,1829,14/9/2021 09/15/20,1014.93,-14.86,0.00,29.75,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,171.62,-11.87,305.12,49.21,HAYIR,
79108,1830,14/9/2021 09/15/21,1014.91,-14.76,0.00,29.77,11.68,0.000000,0.000000,0.00,Ucus Bekleniyor,175.81,-8.87,305.81,49.21,HAYIR,
79108,1831,14/9/2021 09/15/22,1014.92,-14.85,0.10,29.78,11.96,0.000000,0.000000,0.00,Ucus Bekleniyor,173.37,-16.93,304.00,49.21,HAYIR,
79108,1832,14/9/2021 09/15/23,1014.92,-14.78,-0.10,29.79,11.87,0.000000,0.000000,0.00,Ucus Bekleniyor,172.50,-18.81,303.31,49.22,HAYIR,
